Timestamp,Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s],weekday,weekend,month,day,CPU usage prev,CPU_diff,received_prev,received_diff,transmitted_prev,transmitted_diff
2013-09-11 03:00:00,8422140058790,16980,45804235.779875666,3820558.545147811,29360.61170634929,52969608424.53335,2601677961.3567753,798733.5290764782,619737.3062937079,338346.8725274715,338714.08131868433,12216,0.0,54972,67188,29370.80238095251,-10.190674603174264,345053.42014652095,-6706.547619047636,371226.1384615423,-32512.05714285692
2013-09-11 04:00:00,8422162052580,16980,45804235.792763695,2621645.2165188156,23427.112152777787,52973495225.59999,2242554970.671058,1062873.7047619047,675895.33095238,674534.0201465115,506540.96703296946,12216,0.0,54972,67188,23866.99419642859,-439.88204365079247,680469.034432229,-5935.01428571446,510769.6098901122,-4228.642857142714
2013-09-11 05:00:00,8422184041380,16980,45804235.7967717,2867263.4629000532,24142.115575396827,52994542013.6,2368056963.5472445,1700101.9404761868,613063.0190476229,469901.2153846137,537766.6813186811,12216,0.0,54972,67188,23714.604464285752,427.5111111111084,471921.2820512801,-2020.0666666666366,524745.0813186818,13021.60000000008
2013-09-11 06:00:00,8422206034671,16980,45804235.7967717,3288490.0642317226,26748.33313492075,53000591249.86666,2510058771.9282107,935938.9593406573,482829.2593406629,705244.4487179468,424022.4765567772,12216,0.0,54972,67188,27489.960416666814,-741.6272817460325,668432.6249084233,36811.82380952354,437500.57655677764,-13478.099999999993
2013-09-11 07:00:00,8400165866632,16947,45707677.80119479,2426256.130246066,23614.492832167936,52950491015.948715,2407394537.066336,1145416.0428321655,696372.6567571311,537700.6422743935,479369.4595349102,12184,0.0,54828,67012,23062.700692363254,551.7921398046416,535770.5481185489,1930.0941558442191,471559.3268509269,7810.132683982813
2013-09-11 08:00:00,8422250014267,16980,45804235.83237971,2794342.3318142155,26211.823809523878,53055239382.78098,2701737951.1091633,1516496.8602564095,615804.0236263756,735104.9576923052,796193.193589741,12216,0.0,54972,67188,25676.37120726502,535.4526022588544,691023.9185148146,44081.039177489074,699789.650083247,96403.54350649375
2013-09-11 09:00:00,8422272008556,16989,45827635.73285765,7535155.138870492,48077.77128427135,52979137993.03551,4767910304.976686,686042.6369630365,556967.4535797555,498917.9439560419,508138.16703296796,12216,0.0,54972,67188,46951.68477633494,1126.0865079365085,562301.6630036602,-63383.71904761903,573694.224175825,-65556.05714285684
2013-09-11 10:00:00,8422293997356,17016,45897835.7386257,6231436.403592123,41558.14175546686,53021517925.31426,4589418348.903646,708080.2714285708,609163.1558608066,557982.9189976666,398287.17937063065,12216,0.0,54972,67188,42223.35118006991,-665.2094246031737,529308.1094738594,28674.80952380943,427781.8460372978,-29494.66666666655
2013-09-11 11:00:00,8422315986156,17016,45897835.7195827,5984874.941218925,40491.00042735044,53025759749.657135,4912988381.737734,840433.8619047615,515468.15476190666,385586.9082417556,454334.27893773245,12216,0.0,54972,67188,39750.824137668016,740.1762896825398,428901.2891941371,-43314.38095238097,463649.46465201833,-9315.18571428573
2013-09-11 12:00:00,8422337978691,17016,45897835.72079166,7641966.41037716,47588.86642316024,53027240962.93334,5584996416.077127,887506.238095238,503908.9333333375,766366.9534798531,313394.1908424949,12216,0.0,54972,67188,47306.78170093796,282.08472222222287,696814.5153846146,69552.43809523813,311777.33846154273,1616.8523809523879
